place,cat,target,imp,month,cart,ctr,pdp,clicks,tot_rev,spend,ros,isvt_rev,on_vt_rev,isct_rev,on_ct_rev,tot_ol_rev,tot_in_rev,vt_roas,ct_roas
App,Mobile,Brand,205352,April,15,12,1108,238,23232,3245,4,12038,11194,900,2300,13494,12938,5322,1
App,Mobile,Brand,553801,January,83,17,1439,926,27144,8589,3,1950,25194,0,0,25194,1950,992,0
App,Mobile,Brand,121009,January,140,13,1800,158,27514,1900,14,2587,24927,0,1016,25943,2587,4107,1
App,Mobile,Brand,129600,April,16,4,686,55,27884,1758,11,8306,19579,0,0,19579,8306,107592,0
Phone,Appliances,Browse,13402,December,23,34,140,41,2007,219,18,837,1182,12,12,1182,837,236,12
App,Mobile,Brand,103419,March,41,12,1434,122,28576,1678,11,12283,16293,3160,2390,18683,15443,20624,3
Desktop,Appliances,Browse,13452,December,12,12,22,12,2012,145,27,12,2012,12,12,2012,12,514,12
App,Mobile,Brand,782740,June,130,6,2060,505,30783,8988,3,3240,27543,0,0,27543,3240,401,0
App,Mobile,Brand,734285,October,125,5,4531,342,31554,9643,3,1960,29594,0,0,29594,1960,648,0
App,Mobile,Brand,135539,January,80,3,1135,38,32266,1598,19,2910,29356,0,330,29686,2910,7217,0
App,Mobile,Brand,818880,January,176,5,6492,414,34671,11183,3,1470,33201,0,0,33201,1470,14430,0
App,Mobile,Brand,320578,October,694,13,17785,403,37404,4361,8,2667,34737,0,328,35065,2667,3376,0
App,Mobile,Browse,87085,February,152,10,1917,90,47270,925,48,4723,42547,433,1737,44283,5157,30417,2
App,Mobile,Browse,63629,February,125,17,2241,105,47342,1118,32,11846,35496,0,310,35806,11846,3935,0
App,Mobile,Brand,79628,March,73,5,1703,42,52904,1034,43,11422,41482,0,2460,43942,11422,21113,2
App,Mobile,Brand,446747,October,319,11,4257,503,70586,6891,9,13265,57321,0,3059,60380,13265,53674,0
App,Mobile,Brand,420336,June,180,2,2125,105,71448,4734,14,5504,65944,0,1400,67344,5504,146633,0
Phone,Appliances,Intended,132445,December,16,26,226,191,2482,2160,13,729,1766,12,12,1766,729,271,12
Desktop,Appliances,Browse,6840,December,12,12,51,12,3733,75,71,12,3733,12,12,3733,12,3430,12
App,Mobile,Brand,507155,October,431,4,4387,179,128947,6484,17,16925,112022,0,530,112552,16925,354713,0
Desktop,Appliances,Brand,47855,December,39,14,341,23,4190,490,20,167,4035,12,12,4035,167,598,12
App,Mobile,Browse,317381,April,1031,27,17202,842,331996,5005,50,100988,231008,5593,17006,248014,106581,7837,5
App,Mobile,Brand,929215,January,773,7,13903,644,415941,10509,38,31621,384320,113,11834,396154,31734,5824,1
